f,h,g,Unnamed: 3
540.5,  1,  540.5,
519.9,  -1, 0.9618871415356152,
535.5,  1,  1.0300057703404502,
510.2,  -1, 0.9527544351073762,
535.0,  1,  1.048608388867111,
508.9,  -1, 0.951214953271028,
529.8,  1,  1.0410689722931814,
511.0,  -1, 0.9645149112872783,
551.9,  1,  1.0800391389432484,
537.4,  -1, 0.9737271244790723,
564.0,  1,  1.0494975809452922,
537.5,  -1, 0.9530141843971631,
570.1,  1,  1.0606511627906978,
543.6,  -1, 0.9535169268549377,
616.9,  1,  1.1348417954378218,
595.5,  -1, 0.9653104230831577,
616.0,  1,  1.0344248530646516,
602.2,  -1, 0.9775974025974027,
623.9,  1,  1.036034540019927,
595.1,  -1, 0.9538387562109313,
669.3,  1,  1.1246849269030414,
631.4,  -1, 0.9433736739877484,
648.8,  1,  1.027557808045613,
631.0,  -1, 0.9725647348951912,
656.7,  1,  1.040729001584786,
624.1,  -1, 0.9503578498553372,
662.9,  1,  1.062169524114725,
573.0,  -1, 0.8643837682908433,
635.2,  1,  1.1085514834205934,
618.3,  -1, 0.9733942065491182,
634.5,  1,  1.0262008733624455,
602.7,  -1, 0.9498817966903074,
655.6,  1,  1.087771694043471,
634.5,  -1, 0.9678157413056742,
661.0,  1,  1.0417651694247438,
639.9,  -1, 0.9680786686838123,
659.5,  1,  1.0306297859040476,
596.6,  -1, 0.9046247156937074,
618.7,  1,  1.0370432450553135,
573.9,  -1, 0.9275901082915791,
596.8,  1,  1.039902422024743,
573.7,  -1, 0.9612935656836462,
592.8,  1,  1.0332926616698621,
553.7,  -1, 0.934041835357625,
586.3,  1,  1.0588766480043343,
564.5,  -1, 0.9628176701347434,
588.2,  1,  1.041984056687334,
510.0,  -1, 0.8670520231213872,
543.0,  1,  1.0647058823529412,
525.2,  -1, 0.9672191528545121,
541.9,  1,  1.0317974105102816,
523.9,  -1, 0.966783539398413,
592.3,  1,  1.1305592670356939,
579.0,  -1, 0.9775451629241939,
593.8,  1,  1.0255613126079446,
572.6,  -1, 0.9642977433479287,
605.2,  1,  1.0569332867621377,
579.6,  -1, 0.9576999339061467,
595.4,  1,  1.0272601794340923,
561.1,  -1, 0.9423916694659054,
584.3,  1,  1.0413473534129387,
553.8,  -1, 0.9478007872668149,
605.0,  1,  1.092452148790177,
577.1,  -1, 0.9538842975206612,
592.9,  1,  1.0273782706636632,
576.8,  -1, 0.9728453364817001,
593.1,  1,  1.0282593619972262,
579.2,  -1, 0.9765638172314955,
614.5,  1,  1.060946132596685,
599.8,  -1, 0.9760781122864116,
657.9,  1,  1.096865621873958,
566.6,  -1, 0.8612251101991185,
596.5,  1,  1.0527709142252029,
581.4,  -1, 0.974685666387259,
595.5,  1,  1.024251805985552,
582.6,  -1, 0.9783375314861461,
621.3,  1,  1.0664263645726055,
593.6,  -1, 0.9554160630935137,
607.3,  1,  1.0230795148247978,
572.4,  -1, 0.9425325209945662,
602.6,  1,  1.0527603074772887,
571.6,  -1, 0.9485562562230335,
620.0,  1,  1.0846745976207137,
601.6,  -1, 0.9703225806451613,
619.5,  1,  1.029753989361702,
604.2,  -1, 0.9753026634382568,
634.2,  1,  1.0496524329692154,
